CUI_ID,Gene
C1415717,agfg2
C1540193,aggf1
C1826611,agk
C1412279,agl
C1425503,agmat
C2240102,agmo
C1412281,agpat1
C1412282,agpat2
C1412283,agpat3
C1427190,agpat4
C1540194,agpat5
C1826612,agpat6
C1825853,agpat9
C1970419,agpat9
C2829607,agphd1
C1412284,agps
C1332034,agr2
C1332035,agr2
C1704967,agr2
C1836117,agr3
C1412285,agrn
C1412286,agrp
C0002555,agt
C0069197,agt
C1366631,agt
C1412290,agt
C1706480,agt
C2713666,agt
C3714928,agt
C4521302,agt
C1424854,agtpbp1
C1439284,agtr1
C0390423,agtr2
C1332036,agtr2
C1422049,agtrap
C1412290,agxt
C1422631,agxt2
C1422624,agxt2l1
C1826614,agxt2l2
C1826615,ahctf1
C1412291,ahcy
C3887563,ahcy
C1412292,ahcyl1
C2239469,ahcyl2
C1826617,ahdc1
C1427622,ahi1
C1412295,ahnak
C1426709,ahnak2
C0052441,ahr
C0596123,ahr
C1384603,ahr
C1706481,ahr
C2830016,ahr
C1412294,ahrr
C1705794,ahrr
C1412886,ahsa1
C1426935,ahsa2
C1412296,ahsg
C1425284,ahsp
C1421876,aicda
C1823700,aida
C1412299,aif1
C1428750,aif1l
C1826618,aifm1
C1826619,aifm2
C1826620,aifm3
C1427643,aig1
C1366649,aim1
C1366838,aim1
C1420464,aim1
C1705547,aim1
C1822764,aim1
C2346566,aim1
C4084746,aim1
C1332065,aim2
C1332132,aim2
C1704940,aim2
C1419881,aimp1
C1833235,aimp2
C0162565,aip
C1279945,aip
C1412302,aip
C1836668,aip
C2987164,aip
C1412303,aipl1
C1412304,aire
C1826621,ajap1
C1412305,ak1
C1412306,ak2
C1412307,ak3
C1424944,ak4
C1412309,ak5
C1426676,ak7
C1428600,ak8
C1412311,akap1
C1412312,akap10
C3273690,akap10
C1412313,akap11
C1332070,akap12
C1454561,akap12
C1318045,akap13
C1332071,akap13
C1540196,akap14
C1824816,akap17a
C1412314,akap2
C1412315,akap3
C1412316,akap4
C1412317,akap5
C1412318,akap6
C4521281,akap6
C1412319,akap7
C1412320,akap8
C1428900,akap8l
C0768673,akap9
C1332072,akap9
C1412869,akip1
C1823728,akirin1
C1427552,akirin2
C1540197,akna
C1823208,aknad1
C1412321,akr1a1
C1412322,akr1b1
C1436327,akr1b1
C1412323,akr1b10
C2829647,akr1b15
C2239479,akr1b1p8
C1412324,akr1c1
C1412325,akr1c2
C1412326,akr1c3
C1412327,akr1c4
C1412328,akr1d1
C1428085,akr1e2
C0219300,akr7a2
C1332073,akr7a2
C1412329,akr7a3
C1837971,akr7l
C0285558,akt1
C0812228,akt1
C1428707,akt1s1
C0812230,akt2
C1312419,akt2
C1332074,akt3
C1454182,akt3
C1823170,aktip
C1439270,alad
C1412330,alas1
C1412331,alas2
C0001909,alb
C0201838,alb
C1412332,alb
C1428399,alb
C0295967,alcam
C0538294,alcam
C1332075,alcam
C1538261,aldh16a1
C1538262,aldh18a1
C1412333,aldh1a1
C1332076,aldh1a2
C2745793,aldh1a2
C1412340,aldh1a3
C1412338,aldh1b1
C1538259,aldh1l1
C1538260,aldh1l2
C1412335,aldh2
C4083146,aldh2
C1412336,aldh3a1
C1412334,aldh3a2
C1412342,aldh3b2
C1412337,aldh4a1
C1412339,aldh5a1
C1417216,aldh6a1
C1412691,aldh7a1
C1423512,aldh8a1
C1412343,aldh9a1
C1412344,aldoa
C1412347,aldob
C1412348,aldoc
C1425428,alg1
C1427958,alg10
C1538264,alg10b
C1876205,alg11
C1426190,alg12
C1823172,alg13
C1823173,alg14
C2829649,alg1l
C1418406,alg2
C1427955,alg2
C1427879,alg3
C1426822,alg5
C1427953,alg6
C1427957,alg8
C1538263,alg9
C1332080,alk
C1663627,alk
C1704943,alk
C1823174,alkbh1
C1823175,alkbh2
C1823176,alkbh3
C1823177,alkbh4
C1823178,alkbh5
C1823179,alkbh6
C1823180,alkbh7
C3812637,alkbh7
C1823181,alkbh8
C1424945,allc
C3888005,allc
C1412356,alox12
C3538937,alox12
C1412357,alox12b
C1412359,alox12p2
C0003692,alox15
C1332082,alox15
C1412360,alox15b
C0003693,alox5
C1412361,alox5
C1412362,alox5ap
C1422178,aloxe3
C1412363,alpi
C1538265,alpk1
C1538266,alpk2
C1538267,alpk3
C1412364,alpl
C0740201,alpp
C1412365,alpp
C1412366,alppl2
C1412367,als2
C1859807,als2
C1427028,als2cl
C1422649,als2cr12
C1422645,als2cr8
C1413127,alx1
C1412372,alx3
C1412373,alx4
C1425988,alyref
C1332681,amac1
C1706483,amac1
C3811718,amac1
C3469830,amac1l2
C1172764,amacr
C1412374,amacr
C3280428,amacr
C4318492,amacr
C1412375,ambn
C1412376,ambp
C1969662,ambra1
C1412379,amd1
C1823182,amdhd1
C1823183,amdhd2
C1412382,amelx
C1412383,amely
C1825263,amer1
C1871073,amer1
C0147219,amfr
C1332083,amfr
C0687670,amh
C1412384,amh
C4048548,amh
C1332084,amhr2
C1704948,amhr2
C3853570,amhr2
C1426000,amica1
C1823184,amigo1
C1823185,amigo2
C1823186,amigo3
C1412386,ammecr1
C2239528,ammecr1l
C0067813,amn
C1412084,amn
C1422785,amn
C1527231,amn
